ogc_fid,page_no,track_id,start_lon,start_lat,end_lon,end_lat
2304,795,0,11.56669,48.106412,11.583405,48.119274
2305,796,0,11.583595,48.119324,11.422421,48.106633
2306,797,0,11.422428,48.106635,11.5225353,48.1918678
2307,798,0,11.5223131,48.1919136,11.596236,48.102605
2308,799,0,11.596043,48.102557,11.480081,48.068588
2309,79,0,11.5584729,48.1710258,11.570684,48.130378
2310,79,1,11.707428,48.062048,11.362389,48.225307
2311,79,2,11.5350729,48.1260101,11.5162896,48.1212574
2312,7,0,11.5802722,48.2315427,11.5846393,48.1983037
2313,800,0,11.480316,48.068853,11.370787,48.116909
2314,801,0,11.370485,48.116855,11.626175,48.082193
2315,802,0,11.626183,48.082215,11.631227,48.18336
2316,803,0,11.631085,48.183413,11.6997528,48.1332921
2317,804,0,11.6997528,48.1332921,11.483309,48.072668
2318,805,0,11.483071,48.072407,11.5535298,48.2016884
2319,806,0,11.5535298,48.2017434,11.535211,48.145621
2320,807,0,11.535044,48.145303,11.488923,48.175934
2321,808,0,11.488816,48.175534,11.420872,48.171436
2322,809,0,11.419832,48.170711,11.677072,48.0964708
2323,80,0,11.5162714,48.1212575,11.5363342,48.1250403
2324,80,1,11.65881,48.0768233,11.6587033,48.078645
2325,80,2,11.4726372,48.0616177,11.5321503,48.1002896
2326,80,3,11.5320845,48.1000364,11.5287801,48.0991347
2327,810,0,11.677072,48.0965137,11.4636183,48.209015
2328,811,0,11.4636183,48.209015,11.61735,48.131046
2329,812,0,11.61735,48.131046,11.5595564,48.1864601
2330,813,0,11.5597233,48.1864744,11.61218,48.1857952
2331,814,0,11.6120512,48.1858048,11.578907,48.2008972
2332,815,0,11.5784902,48.2009506,11.5831079,48.1029813
2333,816,0,11.583305,48.1026463,11.530142,48.227308
2334,817,0,11.530072,48.227313,11.639606,48.13335
2335,818,0,11.637785,48.133524,11.6421014,48.1586178
2336,819,0,11.642077,48.1586198,11.6455697,48.1693175
2337,81,0,11.5287605,48.0991201,11.4726203,48.0616398
2338,81,1,11.532046,48.099999,11.52318,48.0962782
2339,820,0,11.6456033,48.1693338,11.6352968,48.176835
2340,821,0,11.6353006,48.176825,11.5861093,48.143434
2341,822,0,11.5862287,48.1434222,11.6312709,48.166924
2342,823,0,11.6312845,48.1669313,11.41035,48.100298
2343,824,0,11.41035,48.100298,11.599103,48.1490707
2344,825,0,11.5993729,48.1489754,11.7100712,48.0715342
2345,826,0,11.7098201,48.0713631,11.4928648,48.1362688
2346,827,0,11.4927424,48.136272,11.6906333,48.1119847
2347,828,0,11.6906333,48.1119633,11.6929722,48.1088948
2348,829,0,11.6929936,48.1088948,11.551195,48.140882
2349,82,0,11.5231935,48.0962882,11.532239,48.1000425
2350,82,1,11.4136843,48.0986884,11.4458875,48.0616033
2351,82,2,11.6982555,48.2474556,11.5543298,48.1399917
2352,830,0,11.551055,48.140902,11.4739835,48.1109879
2353,831,0,11.4739893,48.1109575,11.57271,48.204966
2354,832,0,11.572815,48.204809,11.601026,48.206596
2355,833,0,11.601032,48.206594,11.4586266,48.1971149
2356,834,0,11.4585566,48.1971116,11.3859722,48.1631354
2357,835,0,11.385851,48.1632918,11.6029752,48.1274844
2358,836,0,11.603036,48.1275242,11.5613293,48.1414216
2359,837,0,11.5613479,48.1414863,11.6484565,48.0984879
2360,838,0,11.648429,48.0984874,11.474727,48.174786
2361,839,0,11.474509,48.175392,11.706802,48.116604
2362,83,0,11.5548086,48.1401023,11.6963634,48.2457809
2363,83,1,11.6970229,48.2298258,11.6729176,48.2155536
2364,840,0,11.706336,48.116699,11.5852786,48.1105561
2365,841,0,11.5851734,48.1105939,11.6076701,48.138484
2366,842,0,11.6076613,48.1385,11.5805496,48.1117312
2367,843,0,11.5805496,48.1117408,11.4733883,48.0618233
2368,843,1,11.7070121,48.0619385,11.5829349,48.2474671
2369,843,2,11.602066,48.247767,11.7095906,48.0632198
2370,844,0,11.473135,48.061615,11.5030767,48.1929717
2371,845,0,11.502855,48.1929783,11.5627346,48.1682548
2372,845,1,11.6349002,48.1694581,11.5528403,48.186719
2373,846,0,11.5627384,48.1682816,11.434018,48.144349
2374,847,0,11.43395,48.144347,11.597755,48.0766067
2375,848,0,11.59778,48.07641,11.5676966,48.1241349
2376,849,0,11.5676966,48.1241349,11.5334433,48.1693349
2377,84,0,11.6730014,48.2155441,11.402568,48.174523
2378,850,0,11.5336483,48.1691966,11.5689999,48.0789466
2379,851,0,11.5689999,48.0789466,11.5816033,48.0698816
2380,852,0,11.5816233,48.0698733,11.536688,48.148886
2381,853,0,11.536673,48.148743,11.706602,48.142144
